Time	Theta	Phi
15.625000	59.148921	37.475299
15.679000	59.108125	37.310355
15.680000	58.877646	36.401107
15.684000	58.550728	34.429819
15.700000	58.179091	30.497383
15.714000	58.360195	32.265906
15.728000	58.488260	33.590116
15.747000	58.435857	28.837693
15.759000	58.496712	27.988285
15.777000	58.881343	27.745118
15.802000	59.012545	27.037341
15.820000	59.484575	25.026122
15.831000	59.973278	24.007891
15.846000	60.398304	23.356779
15.861000	61.170628	21.928115
15.875000	61.378143	21.618263
15.905000	61.947737	21.143074
15.920000	62.007656	21.330159
15.935000	62.149601	22.229768
15.951000	62.885772	20.055624
15.970000	63.774920	17.576441
15.981000	63.140939	19.786287
15.995000	62.912427	20.575854
16.014000	63.686097	20.704867
16.039000	63.739473	20.734336
16.055000	63.966805	20.950657
16.069000	63.665729	21.963712
16.107000	63.205252	23.405057
16.108000	63.036045	23.946335
16.119000	62.951461	24.208402
16.127000	62.711408	24.631765
16.157000	62.655538	24.720362
16.172000	61.945902	25.938367
16.187000	61.876992	26.146640
16.201000	61.749097	26.528187
16.222000	62.014859	26.311357
16.232000	62.172161	26.199764
16.246000	62.054599	26.435581
16.275000	62.039142	26.468995
16.291000	61.956158	26.758716
16.306000	62.121726	26.403529
16.320000	62.567512	25.463767
16.335000	62.511163	25.472245
16.351000	62.461157	25.488477
16.392000	62.080563	26.563479
16.394000	61.993785	26.798632
16.412000	62.221046	25.636825
16.424000	62.098906	25.914057
16.439000	61.550591	27.176687
16.454000	61.747961	26.737318
16.469000	61.953169	26.293054
16.483000	61.491140	27.085487
16.510000	61.348733	27.343052
16.540000	60.950379	28.223808
16.543000	60.950379	28.223808
16.557000	60.219881	29.733887
16.571000	60.187998	29.765829
16.586000	60.153343	29.792137
16.601000	60.037422	29.820225
16.616000	59.975791	29.864773
16.664000	59.911580	30.059826
16.665000	59.871851	30.177399
16.675000	59.530726	31.231231
16.691000	59.302837	31.999833
16.706000	58.974431	33.186962
16.721000	59.027742	32.991128
16.739000	59.060094	32.873918
16.754000	59.599835	30.813385
16.779000	59.648493	30.641574
16.818000	59.542614	31.281912
16.818000	59.694527	30.852958
16.829000	60.059868	29.908010
16.837000	61.421493	26.339851
16.852000	62.396093	24.143188
16.868000	63.847046	21.911808
16.897000	64.155008	21.490359
16.912000	67.651938	17.219954
16.927000	67.858385	17.180913
16.945000	68.430589	17.127790
16.961000	69.775726	14.761046
16.970000	70.969858	12.624574
16.986000	75.108215	9.572689
17.001000	76.241261	8.945571
17.029000	77.982730	6.326797
17.047000	79.095911	5.344329
17.062000	83.275793	2.071882
17.075000	84.017063	1.898291
17.090000	84.881371	1.735152
17.105000	85.925049	2.283942
17.120000	86.291706	2.511627
17.149000	88.476787	2.391713
17.178000	88.684039	2.532686
17.180000	89.925892	3.574219
17.194000	90.381887	2.764883
17.217000	90.974913	1.609488
17.222000	91.643816	2.334617
17.237000	91.931305	2.687862
17.253000	90.648320	2.580578
17.282000	90.838473	2.643593
17.297000	93.989720	3.789865
17.311000	93.515509	2.974646
17.326000	92.425898	1.536325
17.341000	91.656037	3.138290
17.358000	91.174967	4.027482
17.371000	92.457515	2.490526
17.400000	92.580340	2.215351
17.416000	91.801456	0.814625
17.430000	91.612001	1.471588
17.444000	91.035939	3.099845
17.461000	91.041290	2.372482
17.475000	91.019952	1.807222
17.490000	90.988521	1.320469
